MeasurementDateGMT,Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3),PM10 Particulate (ug/m3),PM2.5 Particulate (ug/m3)
2016-09-19 08:00:00,22.3,35.6,69.9,20.5,13.2
2016-09-19 09:00:00,24.5,35.6,73.2,23.7,17.2
2016-09-19 10:00:00,18.5,31.9,60.2,26.2,18.2
2016-09-19 11:00:00,10.1,22.9,38.3,15.8,10.0
2016-09-19 12:00:00,6.8,22.2,32.6,16.8,12.1
2016-09-19 13:00:00,3.5,14.9,20.3,18.8,13.6
2016-09-19 14:00:00,2.3,15.2,18.8,19.0,13.7
2016-09-19 15:00:00,6.0,24.2,33.3,16.7,11.5
2016-09-19 16:00:00,6.2,27.4,36.9,20.8,13.5
2016-09-19 17:00:00,2.3,24.9,28.4,21.6,17.9
2016-09-19 18:00:00,2.7,28.7,32.9,15.8,11.0
2016-09-19 19:00:00,2.8,30.5,34.8,20.4,15.7
2016-09-19 20:00:00,2.3,28.8,32.3,20.2,15.8
2016-09-19 21:00:00,2.4,28.8,32.6,19.4,15.3
2016-09-19 22:00:00,1.1,18.8,20.5,24.1,21.6
2016-09-19 23:00:00,2.1,17.6,20.8,20.1,17.0
2016-09-20 00:00:00,1.2,11.5,13.4,13.7,10.8
2016-09-20 01:00:00,0.9,9.1,10.5,16.2,13.7
2016-09-20 02:00:00,1.7,10.0,12.5,11.9,9.6
2016-09-20 03:00:00,2.0,9.9,13.0,10.7,7.9
2016-09-20 04:00:00,5.8,15.1,24.0,12.0,9.0
2016-09-20 05:00:00,1.3,13.6,15.6,12.7,8.3
2016-09-20 06:00:00,2.9,17.8,22.3,10.9,7.6
2016-09-20 07:00:00,3.4,15.8,21.0,6.3,2.6
2016-09-20 08:00:00,3.7,15.4,21.0,8.8,5.5
2016-09-20 09:00:00,4.0,12.9,19.1,7.4,5.2
2016-09-20 10:00:00,7.2,14.3,25.3,7.1,4.6
2016-09-20 11:00:00,5.9,13.7,22.8,7.5,5.4
2016-09-20 12:00:00,7.2,12.5,23.5,11.5,7.0
2016-09-20 13:00:00,6.4,12.7,22.4,15.6,11.2
2016-09-20 14:00:00,10.0,19.2,34.5,4.4,0.6
2016-09-20 15:00:00,2.5,14.6,18.5,5.2,3.7
2016-09-20 16:00:00,10.1,24.0,39.5,6.2,5.2
2016-09-20 17:00:00,10.0,30.4,45.7,7.4,5.6
2016-09-20 18:00:00,1.1,26.9,28.7,13.1,10.3
2016-09-20 19:00:00,9.2,42.9,57.0,15.3,12.3
2016-09-20 20:00:00,9.6,44.0,58.8,16.9,13.5
2016-09-20 21:00:00,2.5,32.1,35.9,15.1,13.4
2016-09-20 22:00:00,1.2,23.4,25.2,11.4,9.4
2016-09-20 23:00:00,4.7,27.6,34.8,12.3,9.4
2016-09-21 00:00:00,10.6,26.5,42.9,16.5,13.5
2016-09-21 01:00:00,9.4,24.7,39.2,10.8,8.6
2016-09-21 02:00:00,3.2,20.2,25.1,12.2,10.6
2016-09-21 03:00:00,17.1,21.6,47.8,15.0,12.8
2016-09-21 04:00:00,22.6,26.2,60.9,17.3,14.5
2016-09-21 05:00:00,35.1,34.3,88.1,20.6,17.7
2016-09-21 06:00:00,22.5,28.7,63.2,16.1,12.2
2016-09-21 07:00:00,43.0,39.2,105.1,27.1,20.1
2016-09-21 08:00:00,41.5,39.5,103.2,49.1,21.5
2016-09-21 09:00:00,34.1,50.0,102.3,37.3,22.6
2016-09-21 10:00:00,29.4,44.4,89.5,22.3,10.4
2016-09-21 11:00:00,28.1,39.3,82.3,31.8,16.9
